REPORTE GESTION DE LOCALIZACION DE BOLSINES IDA 05/12/2017 10:58

EVENTO: BOLSINES GENERADOS EN ACARA - Destino: REGISTRO AUTOMOTOR

desde 04/12/2017   hasta 04/12/2017

CODIGO DESTINO;TIPO DESTINO;DESCRIPCION DESTINO;USUARIO EVENTO;FECHA/HORA EVENTO;ID T&T;NRO.PRECINTO;FACTURA(INTERNO ACARA);PESO ACARA;PESO MAILROOM;ULTIMO ESTADO EN VEDIA;NRO.GUIA
1080;R;ROJAS 01 A                 (B);0KM;04/12/2017 14:53:17;PP030427132AR;1561599;C201700239110;0,335;0,260;EXPEDIDO;18979
1082;R;SALADILLO 01 A MAVI        (B);0KM;04/12/2017 07:56:32;PP030414598AR;512004;c201700245697;2,655;2,735;EXPEDIDO;18969
1082;R;SALADILLO 01 A MAVI        (B);VERDES;04/12/2017 11:44:30;PP030415956AR;986689;C201700245513;0,795;1,035;EXPEDIDO;18973
1082;R;SALADILLO 01 A MAVI        (B);PACK;04/12/2017 11:46:59;PP030416470AR;512393;3201700002087;0,415;0,335;EXPEDIDO;18970
1082;R;SALADILLO 01 A MAVI        (B);PACK;04/12/2017 11:49:09;PP030416815AR;512395;B201700003953;0,740;0,660;EXPEDIDO;18970
1082;R;SALADILLO 01 A MAVI        (B);PACK;04/12/2017 11:53:23;PP030417170AR;512333;A201700020102;0,575;0,495;EXPEDIDO;18970
1083;R;SALTO 01 MAVI;0KM;04/12/2017 14:50:18;PP030426715AR;1675231;C201700237323/9272/40253;1,115;1,015;EXPEDIDO;18979
1084;R;SAN A. DE ARECO 01 A MAVI;0KM;04/12/2017 14:49:56;PP030426653AR;1561598;C201700239273;0,320;0,235;EXPEDIDO;18979
1085;R;SAN CAYETANO 01 A          (B);VERDES;04/12/2017 11:44:21;PP030415911AR;986648;C201700245514;0,235;0,240;EXPEDIDO;18973
1085;R;SAN CAYETANO 01 A          (B);VERDES;04/12/2017 11:45:41;PP030416191AR;986658;C201700245515;0,665;0,735;EXPEDIDO;18973
1085;R;SAN CAYETANO 01 A          (B);0KM;04/12/2017 14:50:06;PP030426698AR;1561597;C201700239111;0,325;0,255;EXPEDIDO;18979
1086;R;SAN FERNANDO 01 A          (B);0KM;04/12/2017 14:47:53;PP030426358AR;1560313;C201700239274/40254;0,545;0,475;EXPEDIDO;18979
1087;R;SAN ISIDRO 01              (B);0KM;04/12/2017 14:48:50;PP030426477AR;1560312;C201700240255;0,320;0,265;EXPEDIDO;18979
1088;R;SAN MARTIN 01              (B);VERDES;04/12/2017 11:40:42;PP030415616AR;986645;C201700245516;1,860;2,145;EXPEDIDO;18973
1089;R;SAN MARTIN 02              (B);VERDES;04/12/2017 11:41:44;PP030415718AR;986643;C201700245517;1,005;1,055;EXPEDIDO;18973
1089;R;SAN MARTIN 02              (B);0KM;04/12/2017 14:51:50;PP030426931AR;1675300;C201700239275;0,425;0,375;EXPEDIDO;18979
1090;R;SAN MIGUEL 01              (B);0KM;04/12/2017 14:49:08;PP030426517AR;1560311;C201700240105/40106;0,785;0,710;EXPEDIDO;18979
1091;R;MONTE;0KM;04/12/2017 14:47:30;PP030426313AR;1560319;C201700238096/41087/41088;1,020;0,935;EXPEDIDO;18979
1092;R;SAN NICOLAS 01 A           (B);0KM;04/12/2017 14:42:53;PP030425851AR;1560339;C201700238097/8098/41089;0,735;0,715;EXPEDIDO;18979
1093;R;SAN PEDRO 01 A;0KM;04/12/2017 14:40:15;PP030425573AR;1560346;C201700238224;0,385;0,325;EXPEDIDO;18979
1094;R;TANDIL 1               (B);0KM;04/12/2017 14:43:58;PP030425896AR;1560345;C201700237324/9276/40256;0,780;0,715;EXPEDIDO;18979
1095;R;TAPALQUE 01 A              (B);VERDES;04/12/2017 13:41:42;PP030421735AR;1595549;cca328386;0,075;0,100;EXPEDIDO;18973
1096;R;TIGRE 01                   (B);0KM;04/12/2017 14:41:41;PP030425715AR;1560344;C201700239277/9278;0,550;0,485;EXPEDIDO;18979
1097;R;TORNQUIST 01 A             (B);0KM;04/12/2017 14:44:08;PP030425936AR;1560343;C201700240257;0,160;0,090;EXPEDIDO;18979
1098;R;TRENQUE LAUQUEN 01 A;PACK;04/12/2017 11:46:04;PP030416276AR;174622;A201700020127;0,780;0,725;EXPEDIDO;18970
1099;R;TRES ARROYOS 01 A;0KM;04/12/2017 14:45:10;PP030426052AR;1560342;C201700237325/7326/8225/40258;0,860;0,810;EXPEDIDO;18979
1100;R;TRES DE FEBRERO 01         (B);PACK;04/12/2017 15:16:57;PP030428637AR;354492;C201700237327/8226/9279/40259;1,645;1,650;EXPEDIDO;18982
1101;R;VEDIA 01 A                 (B);VERDES;04/12/2017 11:42:54;PP030415770AR;986688;C201700245518;1,415;1,430;EXPEDIDO;18973
1102;R;25 DE MAYO 01 A            (B);VERDES;04/12/2017 11:40:09;PP030415559AR;986678;C201700245519;1,190;1,035;EXPEDIDO;18973
1102;R;25 DE MAYO 01 A            (B);0KM;04/12/2017 14:43:28;PP030425879AR;1675237;C201700237328/8227/9280/9281;1,075;0,990;EXPEDIDO;18979
1103;R;ZARATE 01 A                (B);0KM;04/12/2017 14:41:23;PP030425692AR;1560341;C201700237329;0,395;0,335;EXPEDIDO;18979
1104;R;BERAZATEGUI 01;VERDES;04/12/2017 11:44:38;PP030415973AR;986659;C201700245520;1,020;1,060;EXPEDIDO;18973
1104;R;BERAZATEGUI 01;0KM;04/12/2017 14:42:16;PP030425777AR;1560340;C201700237330/8228;0,780;0,715;EXPEDIDO;18979
1105;R;CAMPANA 01 A;PACK;04/12/2017 15:20:03;PP030428739AR;1560348;C201700237331/8229;0,405;0,455;EXPEDIDO;18982
1106;R;LA MATANZA 02;0KM;04/12/2017 14:42:00;PP030425732AR;354390;C201700237332/8230;1,570;1,620;EXPEDIDO;18979
1107;R;LANUS 02                   (B);0KM;04/12/2017 07:36:04;PP030413734AR;512178;c201700245698;1,435;1,475;EXPEDIDO;18969
1107;R;LANUS 02                   (B);VERDES;04/12/2017 11:45:16;PP030416090AR;986652;C201700245521;1,755;1,770;EXPEDIDO;18973
1107;R;LANUS 02                   (B);PACK;04/12/2017 15:20:38;PP030428756AR;1560347;C201700237333/7334/8231/8232;0,965;0,965;EXPEDIDO;18982
1108;R;OLIVOS 02                  (B);PACK;04/12/2017 15:19:25;PP030428711AR;1560349;C201700238233/8234/9282/40260;0,955;0,945;EXPEDIDO;18982
1110;R;SAN A. DE GILES 01 ;PACK;04/12/2017 15:18:56;PP030428699AR;1555267;C201700238099;0,255;0,190;EXPEDIDO;18982
1111;R;SAN ISIDRO 02              (B);PACK;04/12/2017 15:24:57;PP030428932AR;1675235;C201700237335/8235/9283;0,825;0,825;EXPEDIDO;18982
1112;R;NAVARRO 01 A MAVI          (B);PACK;04/12/2017 15:24:13;PP030428915AR;1560326;C201700237336;0,515;0,515;EXPEDIDO;18982
1113;R;SAN VICENTE 01 A           (B);PACK;04/12/2017 15:22:50;PP030428835AR;354440;C201700238236/9284/40262;1,665;1,665;EXPEDIDO;18982
1114;R;CAÑUELAS 01 A              (B);PACK;04/12/2017 15:21:18;PP030428773AR;354338;C201700239112/8113/41090;1,245;1,255;EXPEDIDO;18982
1115;R;MORON 01                   (B);0KM;04/12/2017 14:41:14;PP030425675AR;1560332;C201700239285;0,310;0,240;EXPEDIDO;18979
1118;R;QUILMES 02;PACK;04/12/2017 15:25:35;PP030428950AR;1675236;C201700238237;0,580;0,585;EXPEDIDO;18982
1120;R;LA MATANZA 03;PACK;04/12/2017 15:21:53;PP030428795AR;1560331;C201700237337/9286;0,710;0,725;EXPEDIDO;18982
1121;R;MAR DEL PLATA 03           (B);PACK;04/12/2017 15:23:25;PP030428875AR;1560330;C201700237338;0,255;0,295;EXPEDIDO;18982
1122;R;LOMAS DE ZAMORA 02         (B);VERDES;04/12/2017 11:40:28;PP030415593AR;986626;C201700245522;1,010;1,105;EXPEDIDO;18973
1122;R;LOMAS DE ZAMORA 02         (B);PACK;04/12/2017 15:22:13;PP030428813AR;1560329;C201700240263;0,255;0,270;EXPEDIDO;18982
1123;R;SAN MARTIN 03              (B);PACK;04/12/2017 15:23:08;PP030428858AR;1560328;C201700238238;0,485;0,500;EXPEDIDO;18982
1124;R;LANUS 09                   (B);PACK;04/12/2017 15:23:54;PP030428892AR;1560327;C201700239287/41091;0,945;0,925;EXPEDIDO;18982
1125;R;RANCHOS 01 A               (B);0KM;04/12/2017 07:59:57;PP030414757AR;512021;c201700245699;5,185;5,245;EXPEDIDO;18969
1125;R;RANCHOS 01 A               (B);VERDES;04/12/2017 11:44:47;PP030415995AR;986650;C201700245523;2,175;2,275;EXPEDIDO;18973
1125;R;RANCHOS 01 A               (B);VERDES;04/12/2017 11:45:07;PP030416072AR;986644;C201700245524;0,885;0,935;EXPEDIDO;18973
1126;R;MAR DEL PLATA 04           (B);0KM;04/12/2017 14:40:32;PP030425595AR;1560337;C201700237339;0,305;0,285;EXPEDIDO;18979
1127;R;LA PLATA 05                (B);PACK;04/12/2017 14:36:15;PP030425159AR;1658258;CHAPA DESPINTADA AA140ZY;0,400;0,345;EXPEDIDO;18977
1127;R;LA PLATA 05                (B);0KM;04/12/2017 14:40:49;PP030425613AR;1560336;C201700238239;0,545;0,505;EXPEDIDO;18979
1128;R;SAN MIGUEL 02;PACK;04/12/2017 15:18:25;PP030428671AR;1555269;C201700237340/82340/9288;0,955;0,955;EXPEDIDO;18982
1129;R;CAPITAN SARMIENTO 1 A MAVI (B);0KM;04/12/2017 14:41:04;PP030425635AR;1555268;C201700238241;0,310;0,245;EXPEDIDO;18979
1130;R;GENERAL RODRIGUEZ 01       (B);PACK;04/12/2017 15:17:42;PP030428654AR;1560338;C201700237341/8242/40264;0,950;0,915;EXPEDIDO;18982
1132;R;PINAMAR 01 A MAVI;VERDES;04/12/2017 14:38:02;PP030425318AR;1676242;C201700241092;1,255;1,295;EXPEDIDO;18978
1133;R;SAN MIGUEL 03 A MAVI;VERDES;04/12/2017 14:35:37;PP030425114AR;354437;C201700237342/8100/8243/9289/9290;1,260;1,270;EXPEDIDO;18978
1133;R;SAN MIGUEL 03 A MAVI;VERDES;04/12/2017 14:37:49;PP030425295AR;1561549;C201700240265/0266;0,435;0,430;EXPEDIDO;18978
1134;R;LANUS 03                   (B);VERDES;04/12/2017 14:38:15;PP030425335AR;1561555;C201700238244/9291;0,485;0,495;EXPEDIDO;18978
1135;R;LANUS 04                   (B);VERDES;04/12/2017 14:33:03;PP030424958AR;1561554;C201700237343/9292/40267;0,720;0,730;EXPEDIDO;18978
